fp_description,label_multiclass
탐지 내역과 일치 하지 않는 데이터,FP-숫자패턴
"검출된 항목의 데이터를 수집하지 않고, 저장하지 않음 파일의 숫자 형태를 오탐한 것으로 예상됨",FP-숫자패턴
"날짜, 시간 숫자 로그성 데이터를 주민번호로 인식한것으로 보임",FP-숫자패턴
"주민번호 탐지로 확인필요 /주민번호 없음, 접속기록 로그로 삭제불가",FP-숫자패턴
개발에 사용한 임시파일이고 데이터가 핸드폰 번호 형식으로 오탐 해당 파일 삭제 처리함,FP-숫자패턴
공사 번호가 전화번호로 인식한 오탐,FP-숫자패턴
일련번호를 주민번호로 인식한 것으로 보여짐,FP-숫자패턴
"주민등록번호 아님,플러그 단말 사용량 데이터 파일",FP-숫자패턴
단순 숫자 나열,FP-숫자패턴
이메일 발송이력 확인시 필요,FP-숫자패턴
가입번호 캐시 파일,FP-숫자패턴
해당 정보는 Memory_total 사이즈로 주민번호는 아닙니다. 서비스 내 주민번호를 수집하는 시나리오 없습니다.,FP-숫자패턴
운전면허번호를 취급하지 않는 시스템임. 삭제 예정,FP-숫자패턴
삭제조치 (주민번호는 취급하지 않기에 예외요청),FP-숫자패턴
오탐 단순 숫자나열,FP-숫자패턴
파일 내용 중 일부 내용이 주민번호 형식으로 표현되어 오탐(날짜 시퀀스 번호) 해당 프로세스 현재 사용안하므로 해당 파일 삭제 처리함,FP-숫자패턴
"삭제 가능, 운전면허 번호 없음",FP-숫자패턴
타임스탬프 및 시퀀스 넘버,FP-숫자패턴
오탐: 운전면허번호 수집하고 있지 않음.,FP-숫자패턴
타임스탬프와 단순 숫자 나열로 확인,FP-숫자패턴
솔루션 내 특정 Idnetifier를 계좌번호로 검출한 Case,FP-숫자패턴
날짜 데이터를 주민등록번호로 검출한 Case,FP-숫자패턴
"해당 파일 오탐확인 (회선번호 시작이 4x, 5x로 시작)",FP-숫자패턴
타임스탬프,FP-숫자패턴
수신 세션 flow 처리 개수 통계 수치,FP-숫자패턴
"버전표시 숫자만 확인됨 (ex. 1406011556980, 1406011556997)",FP-숫자패턴
tomcat 관련정보로 주민번호 없음,FP-숫자패턴
"패턴 오 인식(주민등록번호), Altibase DB로그",FP-숫자패턴
용량관련한 숫자로 주민번호로 오탐,FP-숫자패턴
로그중 일부가 주민번호 형태를 취하고 있어 검출된것으로 추정. 현재 삭제 처리,FP-숫자패턴
로그중 일부가 주민번호 형태를 취하고 있어 검출된것으로 추정. 기솔팀 분석시 삭제시 동작에 영향이 있을 수 있어 제외,FP-숫자패턴
개인정보아님(시스템 로그 내 숫자로 주민번호 아님),FP-숫자패턴
메모리 사용량 오탐,FP-숫자패턴
memory 사용량을 주민번호로 오탐,FP-숫자패턴
주민등록 번호 없음,FP-숫자패턴
주민등록번호 없음. 삭제 완료,FP-숫자패턴
오탐: 단순숫자 나열,FP-숫자패턴
오탐: 단순숫자나열,FP-숫자패턴
운전 면허 번호 정보 없음,FP-숫자패턴
"주민등록번호 없음, 삭제 완료",FP-숫자패턴
timestamp 값,FP-숫자패턴
타임스탬프값이 주민등록번호로 인식,FP-숫자패턴
CTN이 아닌 앨범ID나 곡ID등의 값 (불필요하여 삭제완료),FP-숫자패턴
로그 상의 메모리 사이즈를 표현한 것을 주민등록 번호로 판단한 것으로 보입니다.,FP-숫자패턴
주민등록번호 정보 없음 / 주민번호 없음 / 주민번호 수집안함,FP-숫자패턴
Core Probe Packet 파일로 바이너리 내용을 핸드폰 번호 등으로 오탐,FP-숫자패턴
"개인정보 아님, timestamp",FP-숫자패턴
"주민등록번호 아님(숫자 나열), 삭제조치(개발자 이메일이 포함되어 예외처리 요청)",FP-숫자패턴
"오탐: 운전면허번호, 여권번호 수집하고 있지 않음.",FP-숫자패턴
오탐: 단순 숫자나열,FP-숫자패턴
주민번호없음,FP-숫자패턴
해당 파일의 string 값을 전화번호로 인식,FP-숫자패턴
"주민번호x, 법인등록번호o",FP-숫자패턴
로그 타임스탬프가 13자리 주민등록번호로 인식되어 오탐,FP-숫자패턴
POI 상점 전화번호,FP-숫자패턴
네트워크 전송량을 주민번호로 인식,FP-숫자패턴
application 자동생성 unique id,FP-숫자패턴
"로그파일의 orgaddr, dstaddr 번호를 전화번호로 인식",FP-숫자패턴
로그파일의 TransactionID 번호를 전화번호로 인식,FP-숫자패턴
날짜 13자리 timestamp,FP-숫자패턴
휴대폰번호가 아닌 가입번호,FP-숫자패턴
"날짜, 시간 timestamp, 임의 랜덤번호",FP-숫자패턴
Log 기록time 또는 사업자/법인번호,FP-숫자패턴
서버 access time의 숫자형 문자열,FP-숫자패턴
오탐: 예외요청 - 엔진G/W에서는 운전면허번호를 수집/사용/전달하지 않는 것으로 확인. 로그 파일 내 숫자 배열을 운전면허번호로 오탐,FP-숫자패턴
오탐 (단순 custid 데이터) / 오탐 (은행 계좌 번호 암호화처리),FP-숫자패턴
"데이터 보관 주기에 따라 삭제됨, 핸드폰 번호 데이터 없으며 argosi.YYYY-MM-DD 형식의 파일은 예외 처리 필요함",FP-숫자패턴
확인 결과 : 오디언스번호,FP-숫자패턴
확인결과 : 유닉스 시간대,FP-숫자패턴
오탐 : Log 기록time 또는 사업자/법인번호,FP-숫자패턴
네트워크 전송량을 외국인등록번호로 인식,FP-숫자패턴
주민등록번호 없음,FP-숫자패턴
통합통계 구분코드 중 SID가 One_ID 로 생성됨,FP-숫자패턴
"주민번호 앞자리만, 핸드폰 번호 포함으로 삭제",FP-숫자패턴
통합실적포털 개발기 WEB에서 사용하는 xml파일로 삭제불가,FP-시스템로그
mysql db log로 가입자 정보 없음,FP-시스템로그
server-i 실행 로그 (삭제 조치),FP-시스템로그
시스템 로그메세지로 개인정보 없음,FP-시스템로그
서비스 liveness 감시 로그 파일로 개인정보 없음,FP-시스템로그
"altibase의 이중화, storage, 쿼리 중 발생하는 시스템 로그",FP-시스템로그
"호처리 분석용 실패 로그, 7일 보관 후 자동 삭제",FP-시스템로그
NAS 사용량 증감 수치 정보 기록파일,FP-시스템로그
"웹서버 access_log,ssl_request 로그 디렉토리",FP-시스템로그
"민원대응을 위한 호처리서버의 발,착신 호처리 로그",FP-시스템로그
인프라 점검 스크립트,FP-시스템로그
"원천에서 연동 받는 운영용 파일이며, DB로 연동 후 7일 후 삭제 로직 수행",FP-시스템로그
어플리케이션 로그 파일,FP-시스템로그
삭제조치 (크론 삭제),FP-시스템로그
시스템 debug log로 개인정보 없음,FP-시스템로그
서비스 통계로그(삭제 처리) / 삭제 불가 : 통합통계 소나 통계 압축 파일,FP-시스템로그
서버 모니터링 로그,FP-시스템로그
DB 바이너리 파일임,FP-시스템로그
시스템 사용자 접속 로그,FP-시스템로그
서버 모니터링로그,FP-시스템로그
자사 NW 장비 및 망 구성정보,FP-시스템로그
연동 파일 자동삭제 log 정보,FP-시스템로그
old 데이터라 삭제 처리,FP-시스템로그
장비 성능 지표,FP-시스템로그
서버 모니터링 관련 데이터,FP-시스템로그
해당 파일 3사 공동이용망 통계 연동 파일명임,FP-시스템로그
오라클 성능 AWR자료,FP-시스템로그
민원대응을 위한 OpenAPI 트랜잭션 로그 파일,FP-시스템로그
장비 성능 지표 데이터,FP-시스템로그
당사 장비 구성정보 (설치 주소 등)임,FP-시스템로그
웹서버 로그 파일,FP-시스템로그
웹서버 로그파일. 삭제불가,FP-시스템로그
시스템 파일로 개인정보 없음,FP-시스템로그
Open stack의 swift 데몬이 관리하는 데이터 파일. 개인정보 파일이 아님,FP-시스템로그
DB Safer의 사용자 로그입니다.,FP-시스템로그
모바일가입자가 웹서비스(http) 사용시 캐싱을 위해 사용,FP-시스템로그
시스템 로그,FP-시스템로그
서버설정정보 백업,FP-시스템로그
삭제 조치 (데이터들은 응용에서는 전혀 사용안하는 영역으로 DBA요청하여 삭제처리/DBA가 백업 생성),FP-시스템로그
자동삭제(예약작업에 의한 자동삭제),FP-시스템로그
매일 주기적 백업으로 인해 자동 생성 및 자동 삭제됨,FP-시스템로그
"오탐 설명: 삭제처리는 가능하나 SonatypeNexus 서버 로그가 저장되는 파일로서 주민등록번호, 외국인 등록 번호는 포함되는지 확인이 어려움 정확한 확인 필요시 검출시의 패턴 확인 필요",FP-시스템로그
장비 로그,FP-시스템로그
Call Fail Reason 이력 확인,FP-시스템로그
장비로그,FP-시스템로그
예약작업으로 매일 주기적 생성 및 삭제됨,FP-시스템로그
30일 후 자동삭제됨,FP-시스템로그
장비 config 설정을 매일 1회 백업하여 생성되는 파일로 예외처리 필요,FP-시스템로그
당사 장비 구성정보 (시리얼번호 등)임,FP-시스템로그
장비 설치 장소 정보로 개인정보 아님,FP-시스템로그
DB 장애 처리용 백업 데이터로 삭제 불가,FP-시스템로그
서버 자동 진단데이터 수집(일별로 변경되는 파일),FP-시스템로그
서버 자동 진단데이터 수집,FP-시스템로그
시스템 로그로 주민등록 미포함,FP-시스템로그
로그 내 감시패턴과 일치하는 항목존재,FP-시스템로그
APP스캔 결과서 내부의 X-Global-Transaction-ID가 탐지된 것으로 보임,FP-시스템로그
시스템 자체생성파일로 코딩되어 @로 표기되어 메일로 오인지함,FP-시스템로그
콜로그이며 ctn번호 포함,FP-시스템로그
ctn 정보포함된 콜로그임,FP-시스템로그
ctn 정보가 포함된 콜로그,FP-시스템로그
ctn을포함한 호처리 메시지로그,FP-시스템로그
ctn이 포함된 콜로그임,FP-시스템로그
ctn 정보가 포함된 콜로그임,FP-시스템로그
메인 시스템 로그 수집하는 경로,FP-시스템로그
서버 변경에 의한 유휴서버 off 처리,FP-시스템로그
당사 장비 구성정보 (NTOSS 장비ID 등)임,FP-시스템로그
SNMS 로그 파일,FP-시스템로그
CTN 정보 남기지 않음,FP-시스템로그
node js 서버 로그,FP-시스템로그
해당 건 서브시스템 로그로 개인정보 아님,FP-시스템로그
해당 건 시스템 패치 관련 데이터로 개인정보 아님,FP-시스템로그
해당 건 시스템 패치관련 데이터로 개인정보 아님,FP-시스템로그
서비스/시스템 간 장비알람/통계 연동이력으로 개인정보 아님,FP-시스템로그
해당 건 시스템 패치관련 소스로 개인정보 아님,FP-시스템로그
"snapshot 파일은 daily로 7개, weekly로 52개가 기본적으로 생성,유지하는 정책이 default(인프라확인내용)",FP-시스템로그
해당 건 시스템 수행로그로 개인정보 아님,FP-시스템로그
/MDMO_NAS/ snapshot 경로는 NAS 백업경로로 예외처리 필요,FP-시스템로그
/MDMO_NAS/ecm 경로는 ecm파일 경로로 예외필요,FP-시스템로그
/MDMO_NAS/newmail 경로는 메일 첨부파일 경로로 예외필요,FP-시스템로그
/MDMO_NAS/bbs 경로는 마당포탈 게시판 첨부파일 경로로 예외필요,FP-시스템로그
/MDMO_NAS/approval/ 결재 첨부파일 보관 경로로 예외처리 필요,FP-시스템로그
/MDMO_NAS/mail/ 은 메일첨부파일 경로로 예외처리 필요,FP-시스템로그
어플리케이션 서비스 로그,FP-시스템로그
백업/테스트/log 파일 - 삭제완료,FP-시스템로그
개인사용자보고서는 운영레벨에서 삭제 할수 없음.,FP-시스템로그
BI-Matrix 사용하는 캐시로 삭제불가,FP-시스템로그
BI-Matrix log로 삭제불가,FP-시스템로그
BI-Matrix 사용하는 .xml 파일로 삭제불가,FP-시스템로그
BI-Matrix 사용하는 .json파일로 삭제불가,FP-시스템로그
BI 보고서 소스로 해당정보 없음,FP-시스템로그
BI-Matrix 사용하는 log 파일로 삭제불가,FP-시스템로그
장비 성능정보로 개인정보 아님,FP-시스템로그
pbsetl01 서버는 기업dw EOSL ETL서버로 F/O 되었음 6/24되어,FP-시스템로그
장비 성능 통계 정보로 개인정보 아님,FP-시스템로그
BI 솔루션 사용 로그 ZIP파일,FP-시스템로그
BI 솔루션 사용 캐시 ZIP파일,FP-시스템로그
BI에서 사용하는 xml파일로 삭제불가,FP-시스템로그
보고서 캐시 파일로 삭제 처리,FP-시스템로그
Decommission Node,FP-시스템로그
메일로그,FP-시스템로그
elasticsearch 저장데이터,FP-시스템로그
WAS 서버 로그 백업,FP-시스템로그
asterisk 에러메시지 로그이나 고객사 백업 파일내 파일위치로 확인불가하여 삭제 불가함,FP-시스템로그
nms 로그이나 고객사 백업 파일내 파일위치로 확인불가하여 삭제 불가함,FP-시스템로그
NAS 증감 수치가 기록된 파일,FP-시스템로그
F/O로 예외 처리,FP-시스템로그
서비스에서 Fade-out되어 사용하지 않는 서버입니다. 종료 됨,FP-시스템로그
NAS 영상 업로드 저장 된 파일,FP-시스템로그
node js 로그,FP-시스템로그
svn 데이터,FP-시스템로그
장비 F/O,FP-시스템로그
Fluent Bit 로그 수집기 관련 파일,FP-시스템로그
서버 모니터링 정보로 개인정보 아님,FP-시스템로그
sql server error SQL 파일,FP-시스템로그
sql server profiler 파일,FP-시스템로그
WAS 서버 로그 사용자별 로그,FP-시스템로그
서버 간 통신정보로 개인정보아님,FP-시스템로그
nginx 로그,FP-시스템로그
통합실적포털 web서버에서 사용하는 xml로 파일 삭제불가,FP-시스템로그
SVN데이터,FP-시스템로그
메일데이터,FP-시스템로그
백업솔루션 자체 생성 파일,FP-시스템로그
"소스 압축파일, 삭제 조치 완료",FP-시스템로그
nginx 서버 로그,FP-시스템로그
DOCUZEN 솔루션 데이터,FP-시스템로그
BI에서 사용하는 ZIP파일로 삭제불가,FP-시스템로그
메신저 프로젝트 파일,FP-시스템로그
프로젝트 백업 파일,FP-시스템로그
메신저 조직도 파일,FP-시스템로그
프로젝트 백업 데이터,FP-시스템로그
젠킨스 데이터,FP-시스템로그
레드마인 서버 데이터,FP-시스템로그
WAS 서버 로그,FP-시스템로그
메일 mint 프로젝트 파일,FP-시스템로그
DB 복제 시 발생된 로그 추적 파일,FP-시스템로그
특성당 로그 파일을 당시 특성당 관련 기술지원 처리를 위해 백업해 둔 것으로 삭제했습니다. 실제 주민번호는 없었을 것입니다.,FP-시스템로그
서비스 데몬 로그,FP-시스템로그
삭제불가 : 서비스이력용으로 자동삭제,FP-시스템로그
오탐 : 일일백업,FP-시스템로그
TLO 로그,FP-시스템로그
로그백업,FP-시스템로그
검증 서버 서비스 로그,FP-시스템로그
보안프로그램(솔리드스텝) 로그. 권한없음. 삭제불가,FP-시스템로그
서버IP정보 - 오래되고 사용하지 않는 로그파일로 삭제진행,FP-시스템로그
서버정보로그 - 로그파일 삭제,FP-시스템로그
서버정보로그 - 2025년 이전 로그파일 삭제,FP-시스템로그
메일 삭제 과거 14일 보관,FP-시스템로그
오탐: altibase 이중화 관련 log,FP-시스템로그
db 모니터링 로그임,FP-시스템로그
서비스 로그 (예외요청),FP-시스템로그
일일 db백업 exp파일임,FP-시스템로그
자동생성되는 배치 로그 파일,FP-시스템로그
스팸정보 서비스 로그,FP-시스템로그
F/O 예정,FP-시스템로그
25년 5월 26일 디스크 천공 후 자산 폐기 완료,FP-시스템로그
http 캐시된 파일입니다,FP-시스템로그
로그파일,FP-시스템로그
삭제불가 실시간 LOG (Logrotate),FP-시스템로그
"서비스 로그(52일 저장 후 자동삭제, 삭제완료)",FP-시스템로그
서비스 TLO 로그,FP-시스템로그
서비스 로그(하루치 데이터가 쌓이고 날짜가 지나면 날짜가 추가된 파일로 이름이 변경됨. 최신 하루데이터만 저장되는 파일),FP-시스템로그
자동생성되는 서버로그 파일,FP-시스템로그
삭제조치(서비스로그),FP-시스템로그
삭제 불가 (Solidstep 담당자 확인 필요),FP-시스템로그
보관주기 초과로 자동삭제된 파일 / 개인정보 파일 아닌 네트워크 상태정보 파일임,FP-시스템로그
서비스로그로 삭제 불가,FP-시스템로그
서비스 사용 파일,FP-시스템로그
"5-25 업그레이드 당시 생성한 S-15 백업 파일로, 주민등록번호를 취급하지 않는 시스템임",FP-시스템로그
MMSS OAM 서비스 로그,FP-시스템로그
"서버가 아닌 NAS에 존재하는 파일로, NW 현업 업무로 생성 된 파일임.",FP-시스템로그
TestWeb 홈페이지의 로그 파일,FP-시스템로그
오탐 : db로그파일(실시간 자동생성됨),FP-시스템로그
솔루션 내부 메타 정보 또는 서버 기동 관련 설정 정보로 개인정보 없음,FP-시스템로그
db tracelog 파일 임,FP-시스템로그
오탐: 서비스 사용 js 파일,FP-시스템로그
서비스로그(주민번호 남기지 않음),FP-시스템로그
"재기동 시, 세션 정보 백업 파일로 프로세스 기능에 필수 데이터이며, 일정 기간 후 삭제됨",FP-시스템로그
호 실패 로그,FP-시스템로그
ngis에서 파일다운로드 시 저장되는 임시파일로 개인정보 없음,FP-시스템로그
서비스로그로 주민번호남기지 않고있음(숫자의 우연히 일치로 추정됨),FP-시스템로그
"3달전 로그 파일 삭제배치로 인한 삭제 예정, 운전면허 번호 없음",FP-시스템로그
DR서버 기동 관련 log. 개인정보없음,FP-시스템로그
오라클에서 제공하는 성능 모니터링 툴 로그로 개인정보 없음,FP-시스템로그
장비정보 및 장비식별정보에 대한 파일로 개인정보 없으며 예외처리 완료,FP-시스템로그
CapaDashboard 백업 데이터,FP-시스템로그
ELK관련파일,FP-시스템로그
접근제어솔루션 웹로그,FP-시스템로그
접근제어솔루션 로그,FP-시스템로그
AS정보,FP-시스템로그
보관주기 초과로 자동삭제된 파일 / 개인정보 파일 아닌 시스템 리소스 모니터링 결과파일임,FP-시스템로그
삭제불가(인프라사용파일),FP-시스템로그
"주기적 생성 연동 데이터, 디렉토리 예외필요",FP-시스템로그
app로그로 계속 신규 생성됨,FP-시스템로그
서비스 로그(SMS발송모듈). 삭제완료,FP-시스템로그
단순 서비스로그/삭제조치,FP-시스템로그
서비스 로그,FP-시스템로그
스케줄러 서비스 로그,FP-시스템로그
삭제조치(미사용 로그로 삭제),FP-시스템로그
삭제가능(서비스운영팀 확인 후 삭제 필요),FP-시스템로그
